ID Transaksi,Tanggal,Nama Pelanggan,Kota,Kategori Produk,Jumlah,Harga Satuan,Total
TX1000,2023-07-30,Prayoga Hartati,Jakarta,Elektronik,,114196.0,
TX1001,2023-07-20,Latika Wastuti,Bandung,Pakaian,2.0,192964.0,385928.0
TX1002,2023-10-31,dr. Dalima Simbolon,Jakarta,Olahraga,7.0,58331.0,408317.0
TX1003,2025-01-21,Lala Astuti,Jakarta,Elektronik,4.0,110990.0,443960.0
TX1004,2024-03-09,Umi Hutapea,Makassar,Olahraga,1.0,197127.0,197127.0
TX1005,2025-06-02,"R.M. Prabu Maheswara, M.Kom.",Bandung,Olahraga,7.0,107787.0,754509.0
TX1006,2024-10-15,Tedi Safitri,Medan,Olahraga,5.0,51703.0,258515.0
TX1007,2024-01-12,Janet Nurdiyanti,Bandung,Perabot,6.0,122842.0,737052.0
TX1008,2024-02-21,Gilang Ardianto,Bandung,Pakaian,6.0,76793.0,460758.0
TX1009,2023-11-02,"Raditya Mayasari, S.Gz",Jakarta,Perabot,2.0,144104.0,288208.0
TX1010,2024-03-02,"Rafi Budiman, S.Farm",Surabaya,Olahraga,,61390.0,
TX1011,2023-09-02,Gawati Handayani,Medan,Olahraga,2.0,149230.0,298460.0
TX1012,2024-10-10,"R. Adhiarja Susanti, S.I.Kom",Jakarta,Olahraga,5.0,144800.0,724000.0
TX1013,2024-09-10,Olivia Dongoran,Makassar,Pakaian,2.0,62012.0,124024.0
TX1014,2025-05-27,"Dipa Uwais, S.Gz",Bandung,Makanan,2.0,111024.0,222048.0
TX1015,2024-10-26,Rahmi Narpati,Jakarta,Perabot,5.0,,
TX1016,2024-10-05,"Dr. Cagak Safitri, M.Pd",Surabaya,Pakaian,6.0,143132.0,858792.0
TX1017,2024-01-08,Ellis Megantara,Bandung,Makanan,2.0,94862.0,189724.0
TX1018,2024-03-22,Qori Utama,Makassar,Pakaian,3.0,171178.0,513534.0
TX1019,2025-01-13,Kariman Usamah,Medan,Makanan,9.0,107570.0,968130.0
TX1020,2024-09-30,"Purwadi Adriansyah, S.Gz",Surabaya,Elektronik,4.0,,
TX1021,2024-09-02,"Cut Bella Winarno, S.Farm",Surabaya,Perabot,5.0,67350.0,336750.0
TX1022,2024-01-04,Cindy Nasyidah,Bandung,Olahraga,,105738.0,
TX1023,2025-06-13,"Uli Sihombing, M.M.",Medan,Perabot,8.0,87452.0,699616.0
TX1024,2024-08-21,Hartana Mulyani,Surabaya,Pakaian,4.0,197159.0,788636.0
TX1025,2023-11-29,Mumpuni Halimah,Makassar,Makanan,10.0,,
